**********************************************************************************
*    Logger session start: Sat Oct 15 11:46:59
**********************************************************************************

11:47:00 | Warning  | Duplicate TextID: ABLINE140
11:47:00 | Warning  | Duplicate TextID: #MM_Multi_hint
11:47:00 | Warning  | Duplicate TextID: #SM_GameName
11:47:00 | Warning  | Duplicate TextID: #LifeRegen
11:47:00 | Warning  | Duplicate TextID: #ManaRegen
11:47:00 | Warning  | Duplicate TextID: #AttackRate
11:47:00 | Warning  | Duplicate TextID: #AttackRadius
11:47:00 | Warning  | Duplicate TextID: #MotionSpeed
11:47:00 | Warning  | Duplicate TextID: CHAT_IG_BACK_BUTTON_TEXT
11:47:00 | Warning  | Duplicate TextID: CHAT_CANCEL_BUTTON_TEXT
11:47:00 | Warning  | Duplicate TextID: IG_CANCEL
11:47:00 | Warning  | Duplicate TextID: CHAT_IG_BACK_BUTTON_TEXT
11:47:00 | Warning  | Duplicate TextID: IG_BACK
11:47:00 | Warning  | Duplicate TextID: #Bottle7.NAME
11:47:00 | Warning  | Duplicate TextID: UndUNec(UN)ABILITY
11:47:00 | Warning  | Duplicate TextID: IceUMag(IC)A
11:47:00 | Warning  | Duplicate TextID: (UNITS)\SOLBALT.MD.HINT
11:47:00 | Warning  | Duplicate TextID: #AuraNecromancy.NAME
11:47:00 | Warning  | Duplicate TextID: #AuraNecromancy
11:47:00 | Warning  | Duplicate TextID: #MC_aDesease_Damage_8_UndHLic.NAME
11:47:00 | Warning  | Duplicate TextID: #Ring23.NAME
11:47:00 | Warning  | Duplicate TextID: #Ring23
11:47:00 | Warning  | Duplicate TextID: #Ring30.NAME
11:47:00 | Warning  | Duplicate TextID: #Ring30
11:47:00 | Warning  | Duplicate TextID: #AuraTransformation1.NAME
11:47:00 | Warning  | Duplicate TextID: #AuraTransformation1
11:47:00 | Warning  | Duplicate TextID: (UNITS)\MAGAZINES\SHOBITEM1.MD
11:47:00 | Warning  | Duplicate TextID: (UNITS)\MAGAZINES\SHOBITEM1.MD.HINT
11:47:00 | Warning  | Duplicate TextID: (UNITS)\MAGAZINES\SHOBITEM2.MD
11:47:00 | Warning  | Duplicate TextID: (UNITS)\MAGAZINES\SHOBITEM2.MD.HINT
11:47:00 | Warning  | Duplicate TextID: (UNITS)\MAGAZINES\Ntr_Artf_HS.MD
11:47:00 | Warning  | Duplicate TextID: (UNITS)\MAGAZINES\Ntr_Artf_HS.MD.HINT
11:47:00 | Warning  | Duplicate TextID: (UNITS)\MAGAZINES\SHOBITEM3.MD
11:47:00 | Warning  | Duplicate TextID: (UNITS)\MAGAZINES\SHOBITEM3.MD.HINT
11:47:00 | Warning  | Duplicate TextID: (UNITS)\MONUTORG.MD
11:47:00 | Warning  | Duplicate TextID: (UNITS)\MONUTORG.MD.HINT
